hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hfouls,afouls,hsaves,asaves,label
24,76,2,4,14,17,11,13,2,1,2
80,20,3,1,5,2,1,3,0,1,1
57,43,4,2,12,11,10,12,1,2,1
47,53,5,3,13,11,7,10,1,3,0
72,28,5,4,21,6,8,13,4,5,0
65,35,4,3,18,9,10,8,1,2,0
39,61,2,2,9,10,22,14,1,1,0
57,43,1,4,6,9,17,14,4,0,1
47,53,5,4,16,8,18,14,4,3,1
39,61,3,6,11,24,9,13,6,1,1
58,42,3,0,19,1,10,13,0,3,0
46,54,2,6,9,13,13,13,5,2,2
43,57,4,4,17,11,10,8,2,3,2
39,61,3,4,6,11,11,12,4,3,0
49,51,4,2,12,8,14,24,2,3,1
58,42,3,1,12,5,20,14,1,1,1
63,37,2,4,4,6,13,13,2,1,2
34,66,5,3,12,6,11,7,2,3,1
62,38,2,0,15,7,7,12,0,2,0
48,52,5,4,13,14,10,7,3,4,0
48,52,3,3,11,13,13,13,3,1,1
53,47,3,4,9,12,24,10,2,1,0
54,46,2,0,9,2,12,13,0,1,1
57,43,4,5,16,9,15,14,5,2,1
59,41,5,1,13,7,21,14,0,3,1
37,63,4,3,11,7,15,15,2,2,1
53,47,4,2,16,12,11,12,0,3,0
37,63,6,4,10,18,13,12,1,4,2
73,27,15,2,20,10,9,11,2,11,1
76,24,9,0,23,0,7,7,0,7,1
29,71,5,4,10,16,18,5,3,4,0
75,25,5,0,19,1,12,9,0,2,1
54,46,3,2,9,8,17,21,2,2,1
53,47,2,3,9,9,22,20,1,2,2
51,49,3,1,10,12,18,12,1,3,0
37,63,3,5,11,12,16,17,5,1,1
48,52,2,9,7,19,12,12,6,2,2
52,48,5,2,9,5,17,18,2,1,1
67,33,4,1,13,6,12,10,1,2,1
66,34,8,1,20,9,14,17,0,6,1
41,59,4,6,8,15,18,14,3,3,2
50,50,10,5,18,15,10,11,5,6,1
50,50,7,4,19,11,15,20,3,4,1
77,23,3,1,18,9,7,13,1,3,0
58,42,2,4,13,9,17,22,3,2,2
46,54,1,3,9,11,10,15,1,1,2
42,58,7,4,11,12,20,16,2,6,2
72,28,7,4,18,15,9,12,3,4,1
48,52,9,1,15,6,12,13,1,5,1
29,71,3,1,15,6,21,18,1,3,0
48,52,5,2,8,14,18,17,2,4,1
55,45,4,2,11,9,15,10,2,2,1
48,52,8,4,9,11,15,8,4,2,1
60,40,6,1,11,7,20,17,0,5,0
48,52,1,4,6,12,11,20,3,1,2
53,47,4,3,19,7,14,10,2,3,0
55,45,9,2,15,11,9,6,2,7,1
51,49,4,2,17,9,6,17,2,4,0
73,27,4,0,17,5,8,21,0,1,1
74,26,1,2,10,7,13,21,1,0,0
73,27,7,3,17,7,11,19,1,5,0
47,53,6,5,18,13,11,9,4,4,1
61,39,2,2,14,9,10,18,0,2,2
49,51,2,3,13,16,15,13,1,1,2
58,42,4,5,11,12,14,18,5,3,1
54,46,6,4,11,9,14,17,3,5,0
53,47,6,6,15,13,17,12,6,5,0
60,40,8,4,16,9,14,14,4,6,1
42,58,8,2,15,9,16,11,2,4,1
68,32,8,4,24,8,13,12,3,5,1
51,49,4,6,6,11,17,16,5,3,0
46,54,5,7,15,16,15,13,5,3,1
55,45,6,2,15,5,3,16,1,4,1
39,61,5,5,11,15,11,18,4,4,1
73,27,14,2,26,4,4,12,1,9,1
24,76,0,16,0,44,12,11,5,0,2
35,65,0,13,0,23,10,13,6,0,2
62,38,13,1,16,7,17,15,1,9,1
48,52,2,4,6,5,16,16,3,2,2
53,47,8,3,13,8,12,23,2,6,1
59,41,1,2,7,8,14,13,2,1,0
58,42,9,1,18,4,11,19,1,5,1
74,26,13,3,36,6,12,7,3,10,1
57,43,4,5,13,9,24,19,8,4,1
42,58,0,1,1,4,3,0,1,0,0
50,50,7,6,12,13,15,12,4,5,2
67,33,10,2,13,12,18,14,7,9,1
60,40,10,3,16,6,10,19,2,13,1
36,64,5,1,6,1,5,2,1,2,1
48,52,7,6,10,10,16,10,11,5,1
61,39,9,1,14,6,11,18,1,10,1
49,51,3,7,5,12,11,8,6,4,1
48,52,2,4,6,8,12,8,5,1,2
44,56,0,7,1,15,15,26,8,0,2
52,48,2,7,6,14,11,10,6,2,1
48,52,8,7,18,14,12,12,8,7,2
61,39,0,11,8,18,10,8,6,0,2
65,35,9,0,17,2,2,9,1,7,1
54,46,6,3,13,8,16,15,4,5,1
34,66,6,2,13,6,7,9,3,3,0
51,49,7,9,11,21,7,5,5,3,0
54,46,3,3,8,5,18,17,4,4,2
52,48,2,2,7,7,14,14,2,2,2
45,55,4,1,9,7,7,8,1,5,0
34,66,8,2,12,3,4,8,3,6,1
39,61,4,8,7,9,14,17,5,2,2
42,58,17,2,25,5,7,7,1,10,1
63,37,9,5,15,7,3,9,3,5,1
53,47,3,8,8,17,7,14,6,2,0
67,33,6,3,15,5,12,16,1,5,1
59,41,10,4,22,6,11,10,3,12,1
46,54,2,2,6,10,23,18,3,2,0
61,39,1,0,1,0,8,12,2,2,0
52,48,2,8,4,16,11,4,8,2,2
55,45,5,5,14,11,5,14,7,7,1
58,42,8,2,18,6,12,5,2,7,1
52,48,3,4,5,12,19,19,5,5,1
45,55,6,3,11,9,21,14,3,6,2
40,60,4,4,4,10,15,17,5,4,2
45,55,3,4,4,8,12,5,0,5,2
70,30,11,3,26,5,4,10,2,7,1
51,49,8,0,15,0,9,13,0,8,1
55,45,4,4,10,7,15,19,3,7,1
65,35,8,7,11,9,10,9,7,7,1
32,68,3,9,6,15,15,13,7,2,2
57,43,10,3,13,4,11,11,2,7,1
52,48,3,4,6,6,1,1,5,2,2
47,53,2,2,11,7,12,7,2,2,1
50,50,9,1,22,1,8,23,1,11,1
44,56,4,7,6,11,10,12,7,4,2
56,44,6,2,10,7,20,19,5,9,2
66,34,4,1,7,3,11,7,2,6,1
45,55,4,4,7,8,9,11,2,6,0
52,48,2,1,6,4,6,12,3,2,1
49,51,2,3,4,6,17,19,3,2,2
55,45,3,2,8,4,14,12,1,4,1
49,51,1,2,3,5,11,14,3,3,1
40,60,6,6,8,10,14,10,5,4,2
44,56,0,5,2,10,11,22,5,0,0
59,41,4,4,11,7,12,16,3,3,1
53,47,7,1,10,2,10,15,2,8,1
56,44,5,0,13,4,8,15,1,6,1
52,48,10,4,12,7,9,7,2,11,2
42,58,0,10,4,16,7,9,9,0,2
52,48,4,3,10,6,12,13,3,2,0
50,50,0,5,2,12,16,9,6,0,2
62,38,5,1,11,2,6,12,3,7,1
84,16,7,1,21,2,5,9,0,9,1
50,50,5,6,10,16,14,5,4,3,2
24,76,3,8,3,21,12,14,5,2,2
63,37,7,2,14,4,9,16,1,6,1
49,51,1,4,13,10,12,10,6,2,1
40,60,2,6,3,13,20,5,3,3,2
40,60,2,1,6,6,14,24,2,2,2
57,43,7,2,13,4,7,7,4,8,0
53,47,6,1,11,2,9,5,1,6,0
67,33,3,4,11,5,13,12,6,5,1
42,58,5,6,10,12,12,12,7,5,2
69,31,14,5,19,5,11,8,4,12,1
50,50,3,1,10,3,13,15,1,5,2
